Barn ID,Barn Name,Ear Tag Code,Registration Number,Registration Name,Chain Number,Location Pen Number,Nomination ID,Order Number,Order Date,Lab Status,Lab Status Date,Genotyped,Current group,Initial group,Birth Date,Due Date,Calving Date,Type,Lact. Number,Preg Status,No. Services,Inb.%,Genomic Inb. %,R-Value,Sire Semen Code,Sire Reg Number,Sire Name,Dam,MGS Semen Code,MGS Reg Number,MGS Name,GMGS Semen Code,GMGS Reg Number,GMGS Name,Proof Source,Evaluation date,Immunity,Calf,LPI,paLPI,Pro$,paPro$,Client Index,paClient Index,PROD,HEALTH,L-TYPE,REPRO,M-ABILITY,ENVIRO,Milk (kg),Fat (kg),%Fat,Prot (kg),%Prot,FE,BMR,ME,SCS,HL,MR,MDR,HH,LP,DF,MSp,MTemp,CA,DCA,BCS,CO,CH,Conf,MS,FL,DS,RU,UD,UT,MSu,UF,FA,TL,FTP,RTP,RAH,RAW,FAng,HD,LOC,FLV,RLSV,RLRV,BQ,STA,HFE,CW,BD,RS,RAng,PW,LS,TP,Polled Test,Color Test,BLAD,BY,CIT,CVM,DUMPS,MF,HH1,HH2,HH3,HH4,HH5,HH6,HCD,HMW,A2 Test,KappaBB,Lactoglobulin,BetaCasein,AY%,BS%,GU%,HO%,JE%,Parent conflict,Parent discovered,Original Sire Semen Code,Original Sire Reg Number,Original Sire Name,Original Dam Reg Number,Original MGS Semen Code,Original MGS Reg Number,Original MGS Name
SYN0010,SYNTHETIC_ANIMAL_010,SYN0010,SYN0010,SYNTHETIC_ANIMAL_010,,23.0,SYN0010,SYN0010,2023-05-30 16:52:47.081222411,Completed,,N,Ivf,Beef,2020-09-01 18:49:16.669784192,,2026-06-14 17:08:10.559708706,Cow,1.0,P,5.0,7.252706014835144,11.949749496590025,12.043814355871657,SYNTH00010,SYNTHM00000004,SYNTH_SIRE_05,SYN0010,SYNTH00010,SYNTH00010,SYNTHETIC_ANIMAL_010,SYNTH00010,SYNTH00010,SYNTHETIC_ANIMAL_010,EBV,2026-04-28 03:56:11.577436230,99.0,,3880.0,3034.0,354.0,-235.0,3178.0,3238.0,593.0,533.0,539.0,515.0,602.0,358.0,449.0,21.0,0.3938520256779309,12.0,-0.19899273797271722,100.0,104.0,99.0,100.0,104.0,103.0,101.0,94.0,97.0,104.0,89.0,98.0,99.0,102.0,95.0,96.0,105.0,5.0,4.0,7.0,6.0,4.0,3.0,3.0,4.0,0.0,6.0,-2.0,-0.0,-1.0,-1.0,4.0,5.0,3.0,4.0,-2.0,-4.0,-3.0,-1.0,7.0,-3.0,2.0,2.0,2.0,4.0,10.0,3.0,3.0,,,0.0,9.0,0.0,4.0,1.0,1.0,7.313871487180596,22.09747844375083,3.1860439273035204,0.8516640879042876,6.503262192898502,3.5137388869414368,3.026609949039932,5.0,,BB,NR,AB,0.0,0.0,,,0.0,N,,SYNTH00010,SYNTH00010,SYNTHETIC_ANIMAL_010,SYNTH00010,SYNTH00010,SYNTH00010,SYNTHETIC_ANIMAL_010
SYN0011,SYNTHETIC_ANIMAL_011,SYN0011,SYN0011,SYNTHETIC_ANIMAL_011,,1.0,SYN0011,SYN0011,2025-05-04 21:52:28.335712131,,2022-05-06 10:53:43.833247831,Y,,,2014-10-30 19:54:31.251793247,,,Heifer,2.0,P,1.0,7.658495802343948,8.821198564531576,10.99244860882597,SYNTH00011,SYNTHM00000007,SYNTH_SIRE_01,SYN0011,SYNTH00011,SYNTH00011,SYNTHETIC_ANIMAL_011,SYNTH00011,SYNTH00011,SYNTHETIC_ANIMAL_011,EBV,2026-04-06 23:31:41.629429303,113.0,,3529.0,3130.0,-49.0,747.0,3463.0,3408.0,444.0,408.0,524.0,354.0,472.0,504.0,1207.0,1.0,0.19036101264147828,11.0,-0.015615556353613114,102.0,97.0,110.0,104.0,98.0,106.0,98.0,99.0,104.0,100.0,101.0,96.0,102.0,98.0,97.0,95.0,90.0,5.0,6.0,7.0,2.0,4.0,2.0,-0.0,1.0,1.0,9.0,-6.0,2.0,2.0,5.0,5.0,3.0,9.0,-1.0,,7.0,2.0,-0.0,-6.0,4.0,-0.0,4.0,8.0,1.0,-2.0,8.0,3.0,,,1.0,2.0,0.0,1.0,1.0,1.0,3.493539533411843,4.716540024972673,0.0,1.0,0.0,2.787628928677261,0.0,11.0,A1/A2,AE,BB,,0.0,0.0,0.0,100.0,0.0,N,Y,SYNTH00011,SYNTH00011,SYNTHETIC_ANIMAL_011,SYNTH00011,SYNTH00011,SYNTH00011,SYNTHETIC_ANIMAL_011
SYN0012,SYNTHETIC_ANIMAL_012,SYN0012,SYN0012,SYNTHETIC_ANIMAL_012,,15.0,SYN0012,SYN0012,2025-05-30 14:26:06.772456201,,2024-10-15 13:00:03.394715947,Y,Conventional,,2014-08-24 12:57:08.507874653,,2025-04-08 11:57:39.692458693,Cow,5.0,P,3.0,4.038814716700802,12.783662239975556,,SYNTH00012,SYNTHM00000004,SYNTH_SIRE_05,SYN0012,SYNTH00012,SYNTH00012,SYNTHETIC_ANIMAL_012,SYNTH00012,SYNTH00012,SYNTHETIC_ANIMAL_012,SMX PA,2026-02-16 16:56:22.793365467,102.0,,3650.0,3694.0,890.0,1390.0,3272.0,3044.0,599.0,392.0,625.0,453.0,560.0,432.0,474.0,51.0,0.2920414046719989,13.0,0.26208000640988827,100.0,96.0,103.0,103.0,105.0,108.0,,100.0,101.0,97.0,94.0,103.0,97.0,102.0,98.0,102.0,100.0,10.0,6.0,2.0,-1.0,6.0,4.0,4.0,4.0,6.0,1.0,4.0,-2.0,10.0,11.0,12.0,6.0,7.0,2.0,3.0,1.0,6.0,-3.0,10.0,6.0,3.0,1.0,4.0,2.0,0.0,0.0,3.0,HH,ED/E+,1.0,7.0,0.0,3.0,1.0,1.0,8.584302463948664,0.0,0.0,0.8167345869407072,0.0,0.0,3.8617668619924306,0.0,A1/A1,AB,NR,AA,0.0,,,,,,N,SYNTH00012,SYNTH00012,SYNTHETIC_ANIMAL_012,SYNTH00012,SYNTH00012,SYNTH00012,SYNTHETIC_ANIMAL_012
SYN0013,SYNTHETIC_ANIMAL_013,SYN0013,SYN0013,SYNTHETIC_ANIMAL_013,,5.0,SYN0013,SYN0013,2023-08-30 22:17:09.114604002,,,Y,,Conventional,2013-12-28 08:56:44.374324161,,2025-11-21 00:14:14.558724678,Cow,4.0,NP,1.0,9.358323875097966,10.31328999584154,,SYNTH00013,SYNTHM00000008,SYNTH_SIRE_19,SYN0013,SYNTH00013,SYNTH00013,SYNTHETIC_ANIMAL_013,SYNTH00013,SYNTH00013,SYNTHETIC_ANIMAL_013,PA,2026-05-01 02:23:07.072487279,110.0,102.0,3268.0,3437.0,1706.0,1697.0,2840.0,3246.0,710.0,646.0,553.0,541.0,579.0,604.0,249.0,72.0,0.5344496749334577,41.0,0.10506505499433268,97.0,102.0,103.0,102.0,106.0,104.0,95.0,98.0,101.0,91.0,95.0,98.0,96.0,99.0,100.0,103.0,102.0,11.0,4.0,3.0,10.0,13.0,-1.0,1.0,3.0,,4.0,-2.0,4.0,0.0,9.0,11.0,1.0,9.0,4.0,2.0,-0.0,2.0,-2.0,1.0,1.0,1.0,-1.0,-2.0,4.0,15.0,4.0,-0.0,,,1.0,2.0,0.0,4.0,1.0,1.0,0.0,6.731106083746882,4.752869839312526,1.0,20.871783222269432,2.4895896367702175,5.103541748300096,0.0,,AE,BB,AA,0.0,0.0,,100.0,0.0,N,Y,SYNTH00013,SYNTH00013,SYNTHETIC_ANIMAL_013,SYNTH00013,SYNTH00013,SYNTH00013,SYNTHETIC_ANIMAL_013
SYN0014,SYNTHETIC_ANIMAL_014,SYN0014,SYN0014,SYNTHETIC_ANIMAL_014,,7.0,SYN0014,SYN0014,,,,Y,Ivf,Beef,2019-06-13 17:05:51.484550758,2027-01-03 02:03:14.647289305,2026-04-28 03:04:29.182062807,Cow,1.0,P,,3.5148241195710135,10.50546641803369,,SYNTH00014,SYNTHM00000009,SYNTH_SIRE_04,SYN0014,SYNTH00014,SYNTH00014,SYNTHETIC_ANIMAL_014,SYNTH00014,SYNTH00014,SYNTHETIC_ANIMAL_014,PA,2026-04-08 08:08:15.526267094,,109.0,2769.0,3089.0,2383.0,590.0,2868.0,3153.0,555.0,507.0,566.0,508.0,488.0,506.0,-37.0,52.0,0.026402983870842306,6.0,-0.10370691472453421,96.0,95.0,100.0,102.0,104.0,102.0,99.0,105.0,97.0,99.0,101.0,103.0,97.0,90.0,98.0,104.0,92.0,3.0,-0.0,-4.0,13.0,5.0,8.0,-2.0,2.0,-0.0,-1.0,-2.0,7.0,-1.0,-2.0,4.0,3.0,1.0,1.0,0.0,3.0,-1.0,3.0,3.0,2.0,4.0,2.0,6.0,-5.0,3.0,5.0,7.0,,,1.0,10.0,0.0,2.0,1.0,1.0,0.0,8.112351987621256,13.135352354030061,1.0,0.0,7.642747513692672,17.041945344833614,12.0,A1/A1,AE,AA,AB,,0.0,,100.0,,Y,N,SYNTH00014,SYNTH00014,SYNTHETIC_ANIMAL_014,SYNTH00014,SYNTH00014,SYNTH00014,SYNTHETIC_ANIMAL_014
SYN0015,SYNTHETIC_ANIMAL_015,SYN0015,SYN0015,SYNTHETIC_ANIMAL_015,,1.0,SYN0015,SYN0015,2022-05-04 06:56:47.490919699,Completed,2023-05-05 14:53:53.360730398,N,,,2023-09-08 03:06:40.293848979,2026-06-28 10:02:36.341441636,,Cow,0.0,P,4.0,10.346586007766525,14.452058841194063,12.188957473528317,SYNTH00015,SYNTHM00000003,SYNTH_SIRE_12,SYN0015,SYNTH00015,SYNTH00015,SYNTHETIC_ANIMAL_015,SYNTH00015,SYNTH00015,SYNTHETIC_ANIMAL_015,PA,2026-01-12 21:18:27.218830141,103.0,110.0,2717.0,3578.0,1719.0,1861.0,2849.0,2818.0,544.0,463.0,563.0,529.0,478.0,589.0,790.0,117.0,0.033411581657692535,33.0,0.42272575235281634,97.0,96.0,99.0,103.0,96.0,101.0,103.0,96.0,95.0,99.0,99.0,99.0,99.0,98.0,96.0,103.0,96.0,3.0,7.0,0.0,6.0,6.0,-0.0,5.0,2.0,-1.0,2.0,-4.0,2.0,5.0,2.0,3.0,0.0,3.0,-0.0,3.0,-1.0,-2.0,-3.0,4.0,4.0,4.0,-3.0,2.0,6.0,-4.0,2.0,0.0,,,1.0,0.0,0.0,1.0,1.0,1.0,11.914612239045285,0.8444574334619628,2.8270530962896188,0.6411434653016821,9.169733507987761,0.9516071259980519,3.7216488588046284,17.0,,AE,BB,AB,0.0,0.0,0.0,100.0,,,Y,SYNTH00015,SYNTH00015,SYNTHETIC_ANIMAL_015,SYNTH00015,SYNTH00015,SYNTH00015,SYNTHETIC_ANIMAL_015
SYN0016,SYNTHETIC_ANIMAL_016,SYN0016,SYN0016,SYNTHETIC_ANIMAL_016,,5.0,SYN0016,SYN0016,,Lab waiting for sample to arrive,2024-11-07 19:46:16.378588920,N,Sexed,,2014-06-03 08:24:53.065180917,,,Cow,1.0,P,2.0,8.651506491007888,7.688405856296049,11.760897144874882,SYNTH00016,SYNTHM00000008,SYNTH_SIRE_19,SYN0016,SYNTH00016,SYNTH00016,SYNTHETIC_ANIMAL_016,SYNTH00016,SYNTH00016,SYNTHETIC_ANIMAL_016,SMX PA,2026-04-01 10:52:15.323431521,96.0,104.0,3316.0,3040.0,68.0,12.0,3383.0,2993.0,573.0,493.0,674.0,481.0,470.0,408.0,1076.0,90.0,0.2732344258987801,41.0,0.08997366185143434,101.0,98.0,92.0,102.0,99.0,103.0,98.0,101.0,96.0,100.0,96.0,97.0,98.0,104.0,95.0,103.0,95.0,8.0,4.0,2.0,-1.0,-2.0,-2.0,7.0,3.0,-1.0,1.0,-0.0,1.0,2.0,5.0,11.0,4.0,-0.0,-1.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,4.0,9.0,0.0,1.0,7.0,3.0,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.562264694487368,4.092514817344372,18.775010863957057,0.0,,BB,NR,AA,0.0,0.0,0.0,100.0,0.0,N,N,SYNTH00016,SYNTH00016,SYNTHETIC_ANIMAL_016,SYNTH00016,SYNTH00016,SYNTH00016,SYNTHETIC_ANIMAL_016
SYN0017,SYNTHETIC_ANIMAL_017,SYN0017,SYN0017,SYNTHETIC_ANIMAL_017,,19.0,SYN0017,SYN0017,,Completed,2024-08-11 07:52:57.540402721,Y,Conventional,,2022-02-25 10:13:51.626624690,2026-08-12 14:14:50.141914621,,Cow,2.0,P,,14.79432360357912,15.985958526470483,,SYNTH00017,SYNTHM00000004,SYNTH_SIRE_05,SYN0017,SYNTH00017,SYNTH00017,SYNTHETIC_ANIMAL_017,SYNTH00017,SYNTH00017,SYNTHETIC_ANIMAL_017,EBV,2026-06-10 21:38:09.166937537,100.0,105.0,3074.0,3500.0,975.0,205.0,3832.0,3647.0,708.0,398.0,610.0,572.0,475.0,482.0,385.0,32.0,0.3424854132566766,24.0,0.14763907988539687,100.0,98.0,105.0,102.0,105.0,101.0,110.0,100.0,100.0,107.0,96.0,99.0,101.0,94.0,94.0,97.0,99.0,13.0,9.0,5.0,1.0,2.0,-2.0,2.0,1.0,-4.0,5.0,,4.0,6.0,3.0,8.0,0.0,2.0,4.0,-0.0,-5.0,-0.0,-1.0,3.0,4.0,-3.0,-2.0,1.0,4.0,-7.0,4.0,4.0,HP,,1.0,5.0,0.0,3.0,1.0,1.0,11.084372288849668,21.24836586087155,3.389054199551299,0.637507496253469,0.0,1.491244844214524,1.1661374407263394,0.0,,,NR,AB,0.0,0.0,0.0,,,Y,N,SYNTH00017,SYNTH00017,SYNTHETIC_ANIMAL_017,SYNTH00017,SYNTH00017,SYNTH00017,SYNTHETIC_ANIMAL_017
SYN0018,SYNTHETIC_ANIMAL_018,SYN0018,SYN0018,SYNTHETIC_ANIMAL_018,,13.0,SYN0018,SYN0018,,Sample processing at lab,2023-12-11 23:25:11.227055351,N,,Sexed,2024-04-16 23:37:27.828045468,2027-03-11 09:41:50.161496928,2025-09-19 08:12:54.556594241,Cow,1.0,P,3.0,5.3092005690064035,7.482145019228939,11.186332795549607,SYNTH00018,SYNTHM00000010,SYNTH_SIRE_13,SYN0018,SYNTH00018,SYNTH00018,SYNTHETIC_ANIMAL_018,SYNTH00018,SYNTH00018,SYNTHETIC_ANIMAL_018,PA,2026-04-24 08:53:01.490287728,,108.0,2982.0,2878.0,1333.0,1614.0,3632.0,3336.0,469.0,627.0,614.0,554.0,553.0,388.0,1114.0,32.0,-0.024541929525920464,46.0,0.1497586907445618,101.0,99.0,103.0,99.0,103.0,102.0,104.0,92.0,103.0,104.0,99.0,92.0,103.0,100.0,98.0,100.0,106.0,11.0,2.0,1.0,6.0,8.0,-5.0,1.0,1.0,-2.0,7.0,7.0,-6.0,2.0,-1.0,6.0,0.0,9.0,1.0,3.0,5.0,3.0,-3.0,6.0,4.0,8.0,5.0,8.0,4.0,5.0,7.0,8.0,,,0.0,0.0,0.0,1.0,1.0,1.0,11.609029450186659,0.0,0.0,1.0,0.0,1.9110626018875756,0.0,24.0,A2/A2,BB,AA,AA,,0.0,0.0,100.0,0.0,N,,SYNTH00018,SYNTH00018,SYNTHETIC_ANIMAL_018,SYNTH00018,SYNTH00018,SYNTH00018,SYNTHETIC_ANIMAL_018
SYN0019,SYNTHETIC_ANIMAL_019,SYN0019,SYN0019,SYNTHETIC_ANIMAL_019,,23.0,SYN0019,SYN0019,2024-03-05 11:13:41.388104128,Sample processing at lab,,Y,Ivf,Beef,2016-02-02 10:27:40.152543784,2026-12-24 16:53:32.280370782,,Cow,1.0,P,,8.022398593233461,,11.466793689520987,SYNTH00019,SYNTHM00000011,SYNTH_SIRE_09,SYN0019,SYNTH00019,SYNTH00019,SYNTHETIC_ANIMAL_019,SYNTH00019,SYNTH00019,SYNTHETIC_ANIMAL_019,GPA,2026-03-12 06:22:55.758781074,110.0,105.0,3225.0,3517.0,1275.0,2306.0,2703.0,2887.0,565.0,483.0,681.0,518.0,509.0,439.0,-645.0,58.0,0.19736607294258446,20.0,0.0427204371238388,102.0,105.0,100.0,108.0,93.0,98.0,105.0,93.0,103.0,102.0,97.0,100.0,96.0,106.0,94.0,95.0,108.0,1.0,-1.0,3.0,9.0,5.0,7.0,-1.0,8.0,6.0,7.0,-5.0,4.0,-0.0,5.0,3.0,4.0,10.0,0.0,1.0,1.0,-3.0,-0.0,4.0,-2.0,1.0,1.0,10.0,7.0,7.0,4.0,1.0,PP,e/e,1.0,8.0,0.0,0.0,1.0,1.0,8.11038895643157,9.359529402048056,11.863826065339037,0.8368263392641924,10.1944398530032,10.489455029651626,0.0,3.0,A1/A1,AA,BB,AB,0.0,0.0,0.0,100.0,0.0,N,,SYNTH00019,SYNTH00019,SYNTHETIC_ANIMAL_019,SYNTH00019,SYNTH00019,SYNTH00019,SYNTHETIC_ANIMAL_019
SYN0020,SYNTHETIC_ANIMAL_020,SYN0020,SYN0020,SYNTHETIC_ANIMAL_020,,18.0,SYN0020,SYN0020,2026-05-26 09:21:57.475605959,,2025-05-04 15:37:21.886254302,Y,,,2015-10-28 18:06:48.073516130,2026-07-31 03:15:28.691873863,,Heifer,4.0,P,,13.19311582297732,19.031438088540995,,SYNTH00020,SYNTHM00000004,SYNTH_SIRE_05,SYN0020,SYNTH00020,SYNTH00020,SYNTHETIC_ANIMAL_020,SYNTH00020,SYNTH00020,SYNTHETIC_ANIMAL_020,GEBV,2026-02-07 01:40:55.493830449,103.0,98.0,3419.0,3128.0,1541.0,1458.0,3649.0,2830.0,486.0,622.0,617.0,554.0,509.0,453.0,383.0,15.0,0.19166953105720924,22.0,-0.007508247286421396,98.0,99.0,101.0,98.0,107.0,106.0,104.0,99.0,102.0,96.0,94.0,99.0,97.0,97.0,96.0,93.0,95.0,5.0,4.0,-0.0,-0.0,-7.0,6.0,2.0,12.0,0.0,0.0,-1.0,14.0,-6.0,4.0,6.0,2.0,0.0,-3.0,-2.0,6.0,5.0,3.0,9.0,6.0,1.0,6.0,0.0,1.0,0.0,5.0,-0.0,,,1.0,0.0,0.0,6.0,0.0,1.0,0.0,4.367702110084165,3.0941154412165637,0.950208395386124,0.0,7.690378725409642,0.0,20.0,A1/A2,BE,NR,AB,0.0,0.0,0.0,100.0,0.0,Y,N,SYNTH00020,SYNTH00020,SYNTHETIC_ANIMAL_020,SYNTH00020,SYNTH00020,SYNTH00020,SYNTHETIC_ANIMAL_020
SYN0021,SYNTHETIC_ANIMAL_021,SYN0021,SYN0021,SYNTHETIC_ANIMAL_021,,12.0,SYN0021,SYN0021,2023-12-11 22:43:11.835699456,Completed,2024-09-01 01:04:09.448502635,Y,,Sexed,2024-10-06 07:17:15.648604735,2027-03-10 02:11:51.147182245,,Heifer,1.0,P,2.0,11.542310382416726,16.26433904590871,12.779079083307682,SYNTH00021,SYNTHM00000008,SYNTH_SIRE_19,SYN0021,SYNTH00021,SYNTH00021,SYNTHETIC_ANIMAL_021,SYNTH00021,SYNTH00021,SYNTHETIC_ANIMAL_021,EBV,2025-12-16 23:32:25.637484791,109.0,,2829.0,2965.0,472.0,1074.0,3510.0,3206.0,506.0,519.0,606.0,541.0,414.0,411.0,391.0,81.0,-0.43651905180463735,6.0,0.3900547325526964,106.0,90.0,104.0,103.0,103.0,98.0,107.0,108.0,98.0,97.0,97.0,103.0,94.0,100.0,98.0,104.0,101.0,2.0,9.0,5.0,4.0,6.0,,1.0,-3.0,4.0,7.0,-3.0,2.0,-5.0,10.0,4.0,-4.0,3.0,2.0,3.0,0.0,3.0,0.0,4.0,7.0,0.0,-2.0,3.0,-6.0,2.0,1.0,-3.0,,,1.0,12.0,0.0,0.0,1.0,1.0,0.0,8.709856828506535,0.0,0.6637293542924747,13.109341981187722,1.6685409222476864,6.132735767794312,4.0,A2/A2,,BB,,0.0,0.0,0.0,100.0,0.0,,N,SYNTH00021,SYNTH00021,SYNTHETIC_ANIMAL_021,SYNTH00021,SYNTH00021,SYNTH00021,SYNTHETIC_ANIMAL_021
SYN0022,SYNTHETIC_ANIMAL_022,SYN0022,SYN0022,SYNTHETIC_ANIMAL_022,,23.0,SYN0022,SYN0022,2025-08-07 18:29:43.914844274,Lab waiting for sample to arrive,2025-06-24 03:25:23.874422476,Y,Ivf,,2024-04-16 23:19:37.854773776,,2025-08-18 17:07:27.939303997,Heifer,5.0,P,,6.407900924410871,12.682824399912178,,SYNTH00022,SYNTHM00000010,SYNTH_SIRE_13,SYN0022,SYNTH00022,SYNTH00022,SYNTHETIC_ANIMAL_022,SYNTH00022,SYNTH00022,SYNTHETIC_ANIMAL_022,SMX PA,2026-01-21 01:30:08.323753998,,106.0,3115.0,3178.0,1193.0,-477.0,2803.0,3646.0,545.0,627.0,670.0,453.0,425.0,366.0,22.0,54.0,0.1544762184093076,47.0,0.2339918660281764,99.0,99.0,94.0,101.0,99.0,100.0,98.0,102.0,100.0,99.0,100.0,94.0,106.0,95.0,95.0,98.0,102.0,5.0,5.0,6.0,5.0,11.0,-2.0,-1.0,-3.0,-8.0,3.0,3.0,2.0,-6.0,3.0,2.0,-3.0,4.0,1.0,1.0,0.0,3.0,2.0,10.0,3.0,-0.0,-1.0,5.0,2.0,7.0,1.0,7.0,,,1.0,13.0,0.0,7.0,0.0,1.0,0.0,20.69365907794664,0.3328312156082025,0.9752826656500453,0.0,2.393152738522079,28.58028724387707,5.0,A1/A1,,BB,AA,0.0,,0.0,,0.0,Y,N,SYNTH00022,SYNTH00022,SYNTHETIC_ANIMAL_022,SYNTH00022,SYNTH00022,SYNTH00022,SYNTHETIC_ANIMAL_022
SYN0023,SYNTHETIC_ANIMAL_023,SYN0023,SYN0023,SYNTHETIC_ANIMAL_023,,12.0,SYN0023,SYN0023,2022-07-12 17:36:19.743092021,,,Y,Beef,,2020-09-25 02:52:16.800302582,,,Heifer,1.0,P,1.0,8.910853875386225,9.072151815972274,10.819745241323815,SYNTH00023,SYNTHM00000012,SYNTH_SIRE_08,SYN0023,SYNTH00023,SYNTH00023,SYNTHETIC_ANIMAL_023,SYNTH00023,SYNTH00023,SYNTHETIC_ANIMAL_023,GEBV,2025-11-30 11:20:04.338142063,,111.0,3674.0,3308.0,1453.0,-353.0,3157.0,3186.0,654.0,535.0,687.0,387.0,643.0,348.0,1692.0,51.0,0.17291845408942377,11.0,0.20869898343724938,98.0,98.0,99.0,108.0,106.0,102.0,91.0,92.0,99.0,96.0,98.0,104.0,100.0,106.0,100.0,104.0,101.0,13.0,4.0,6.0,7.0,-3.0,8.0,9.0,-2.0,3.0,2.0,1.0,5.0,2.0,8.0,5.0,-2.0,7.0,1.0,3.0,-4.0,8.0,4.0,6.0,-4.0,7.0,3.0,0.0,2.0,-3.0,8.0,3.0,,ED/E+,1.0,3.0,0.0,1.0,1.0,0.0,0.0,8.285439538464887,0.0,1.0,7.140699142603565,0.0,8.435965745953693,0.0,A1/A2,BB,,AB,0.0,0.0,0.0,100.0,0.0,,Y,SYNTH00023,SYNTH00023,SYNTHETIC_ANIMAL_023,SYNTH00023,SYNTH00023,SYNTH00023,SYNTHETIC_ANIMAL_023
SYN0024,SYNTHETIC_ANIMAL_024,SYN0024,SYN0024,SYNTHETIC_ANIMAL_024,,,SYN0024,SYN0024,2024-07-26 16:46:24.394992029,Sample processing at lab,,N,,Beef,2024-03-30 00:29:09.417753563,2027-03-24 01:58:44.599933671,2025-08-14 14:44:04.935117417,Heifer,4.0,NP,3.0,8.307085096757675,10.502523385273435,10.168708970927906,SYNTH00024,SYNTHM00000002,SYNTH_SIRE_16,SYN0024,SYNTH00024,SYNTH00024,SYNTHETIC_ANIMAL_024,SYNTH00024,SYNTH00024,SYNTHETIC_ANIMAL_024,EBV,2026-07-04 01:03:49.919588681,102.0,113.0,2937.0,3105.0,1751.0,1196.0,3556.0,3579.0,690.0,582.0,617.0,517.0,480.0,264.0,377.0,65.0,0.17203741578379225,33.0,0.17442308616658025,102.0,98.0,96.0,99.0,100.0,108.0,99.0,87.0,99.0,101.0,92.0,103.0,101.0,100.0,102.0,105.0,101.0,0.0,1.0,5.0,3.0,9.0,0.0,4.0,1.0,0.0,1.0,-2.0,9.0,-4.0,-1.0,6.0,-1.0,-2.0,3.0,,4.0,1.0,5.0,-4.0,2.0,6.0,6.0,5.0,-2.0,-2.0,6.0,3.0,,,1.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,11.885132650480157,0.7708998886866633,30.263529070916768,0.3144217091560769,11.320611830146532,12.0,A1/A2,BE,,AA,0.0,0.0,0.0,100.0,,,Y,SYNTH00024,SYNTH00024,SYNTHETIC_ANIMAL_024,SYNTH00024,SYNTH00024,SYNTH00024,SYNTHETIC_ANIMAL_024
SYN0025,SYNTHETIC_ANIMAL_025,SYN0025,SYN0025,SYNTHETIC_ANIMAL_025,,5.0,SYN0025,SYN0025,2025-08-21 00:45:08.490822410,Completed,2024-06-12 02:05:04.529167055,N,,,2015-02-23 06:23:28.159264829,2026-06-26 09:09:11.913233939,2025-02-28 22:45:32.198156802,Heifer,2.0,P,3.0,9.068586510954992,12.598208278359136,,SYNTH00025,SYNTHM00000013,SYNTH_SIRE_18,SYN0025,SYNTH00025,SYNTH00025,SYNTHETIC_ANIMAL_025,SYNTH00025,SYNTH00025,SYNTHETIC_ANIMAL_025,PA,2026-01-16 04:02:45.115047013,,109.0,3491.0,3381.0,554.0,845.0,3400.0,3328.0,584.0,571.0,636.0,526.0,438.0,381.0,194.0,99.0,0.6388097193357746,25.0,-0.045983474708016545,93.0,99.0,109.0,99.0,100.0,100.0,103.0,103.0,106.0,100.0,103.0,104.0,95.0,100.0,97.0,98.0,100.0,-1.0,11.0,-1.0,-2.0,-6.0,0.0,5.0,5.0,-1.0,1.0,0.0,6.0,6.0,-0.0,3.0,4.0,-1.0,,-3.0,-3.0,-0.0,0.0,12.0,3.0,3.0,8.0,3.0,2.0,3.0,-1.0,12.0,,ED/ED,1.0,8.0,0.0,0.0,1.0,1.0,6.473930138432898,14.183399862627109,0.05587717843626816,0.8148396732014698,1.7020596775636059,2.902572862036905,0.0,16.0,A1/A1,,NR,AB,0.0,0.0,0.0,,,,N,SYNTH00025,SYNTH00025,SYNTHETIC_ANIMAL_025,SYNTH00025,SYNTH00025,SYNTH00025,SYNTHETIC_ANIMAL_025
